feature	baseMean	log2FoldChange	stat	pvalue	padj	symbol
DCN	39.1120330733584	-0.414911347745369	7.1395275236095	9.36522655365821e-13	1.81743027304376e-10	DCN
LUM	104.029332097233	0.0245294935632904	7.09676128930799	1.27714369646184e-12	2.44089251320752e-10	LUM
ZNF483	23.1038254426364	0.0927497009102223	-7.06661638248591	1.58757032359907e-12	2.98889732266845e-10	ZNF483
SOX6	28.2292589947276	0.205068552366026	7.0554170637324	1.72083796541893e-12	3.19215442585211e-10	SOX6
EPS8	19.5021908926807	-1.1117611304496	6.92236153121968	4.44175892081394e-12	8.12005029378942e-10	EPS8
RGL1	17.3703694223163	-1.26726200612676	6.91717113021056	4.60751384109767e-12	8.302739941658e-10	RGL1
FREM1	61.0007969598596	-1.09965973516285	6.91265334476056	4.75671357135217e-12	8.45087112521637e-10	FREM1
IPO5	82.320280602041	0.0398746139913068	-6.90916335518381	4.87520316424022e-12	8.54108509912863e-10	IPO5
TMX1	55.9395529876747	-1.65092027094806	-6.89642547512168	5.33273203068445e-12	9.2146687445279e-10	TMX1
EGFR	21.9227721014922	-0.275135162765736	6.88288274966826	5.86533032731933e-12	9.99801037146027e-10	EGFR
KCNIP4	25.9296789975354	0.192272700753392	6.86999389592423	6.42046514585381e-12	1.07983663133067e-09	KCNIP4
PHC1	15.4547626147689	0.0509645703509877	-6.85170359534763	7.29756425587691e-12	1.21120362531094e-09	PHC1
FGB	108.408274452086	0.255573065889084	6.82138902506512	9.01644074889335e-12	1.47705692995507e-09	FGB
DNAJC15	53.5513092363523	2.67854428911396	6.81201523806448	9.62409097004268e-12	1.55638824995023e-09	DNAJC15
CTSL	31.8888212177147	2.72746881183553	6.78861369564195	1.13216139850883e-11	1.80773213680891e-09	CTSL
CAMK2D	80.3687274949273	1.3317460555778	6.76437022340102	1.3389031087042e-11	2.11111547664934e-09	CAMK2D
TGFBR3	26.7920855125095	-0.03225782870072	6.73830801762348	1.60241599236304e-11	2.49541670711943e-09	TGFBR3
FGA	67.5068362684096	1.03054351485843	6.7170971224723	1.85380417320928e-11	2.85169339522706e-09	FGA
MAML3	48.8321077883328	2.585791307274	6.71232506569007	1.91547378950683e-11	2.9110586001011e-09	MAML3
KIAA0825	52.4191867146836	0.206256543049773	-6.7012249539567	2.06679580331723e-11	3.10363836464804e-09	KIAA0825
MICAL2	19.5340807326754	0.0730614767315589	6.66989427270341	2.55987772854456e-11	3.79885854916013e-09	MICAL2
THRB	63.6283854473326	2.24333705055048	6.66367226698562	2.67068667152983e-11	3.91721414821828e-09	THRB
CTSB	25.4454438263605	2.70278286873603	6.65152506744915	2.90071435341224e-11	4.20570239700482e-09	CTSB
HS6ST2	20.0924446322546	0.0509645703509878	6.64887185203831	2.95347997323351e-11	4.23354504345085e-09	HS6ST2
TTC3P1	27.1757519146425	0.47314099856499	6.63109437346968	3.33207100411292e-11	4.72255546582925e-09	TTC3P1
KIF26B	44.0322241971827	-0.121753209557684	6.61016308223702	3.83896874648722e-11	5.38052797424331e-09	KIF26B
ZFAND3	43.6177600779624	0.336586366258877	6.5925367130365	4.32374215452494e-11	5.99337181727226e-09	ZFAND3
HOOK3	40.3879274894651	-1.9564617338195	6.58291859210238	4.61301755946559e-11	6.32484820598902e-09	HOOK3
ZFHX3	28.2438689856624	-1.37490420853285	6.57231282842954	4.95396424833164e-11	6.71928011058659e-09	ZFHX3
COBLL1	23.534505028279	-0.154724082287453	6.56660537191938	5.14752258243231e-11	6.90753721859586e-09	COBLL1
SPTBN2	30.0843795906074	-0.406900099429334	6.52888446994192	6.62613347568711e-11	8.79811028024391e-09	SPTBN2
RPS6KA3	17.8631229118644	1.0349371606659	6.48602704459461	8.81293535970417e-11	1.15798298570113e-08	RPS6KA3
ADAMTS9	66.1845730788973	-0.448751332881043	6.47753741447491	9.3231659853707e-11	1.2123960385512e-08	ADAMTS9
HIST2H2AA4	60.3080635499711	0.206256543049773	-6.47525509724193	9.46518920778718e-11	1.21830506803089e-08	HIST2H2AA4
COL6A2	25.9994670568921	0.0509645703509878	6.45302939776519	1.09636080513201e-10	1.39691870666012e-08	COL6A2
NAA15	81.3513883738388	0.0509645703509877	-6.42212709758218	1.34383144438225e-10	1.67832572667699e-08	NAA15
SLIT2	58.130200684915	4.49474933782818	6.42268188353704	1.33894117462659e-10	1.67832572667699e-08	SLIT2
TRIM71	25.2633105260754	0.305481479002023	-6.4165630829083	1.3938520813479e-10	1.7237304072669e-08	TRIM71
RBMX	83.903778298636	0.764185593108187	-6.4146493431789	1.41147364688415e-10	1.7285755904657e-08	RBMX
RP11-1144P22.1	30.2803318751266	-0.104327402347798	-6.40258704799996	1.52765976673987e-10	1.85287502862084e-08	RP11-1144P22.1
AC005062.2	29.7752613098924	-3.87758744183748	-6.39535390927886	1.6017592182414e-10	1.90609346970726e-08	AC005062.2
MFAP4	33.1632306305962	-0.333548798309479	6.39654009184472	1.58937115802699e-10	1.90609346970726e-08	MFAP4
TAOK2	79.7999409871355	0.00871612735686066	6.38000490779533	1.77082308693874e-10	2.08758527277059e-08	TAOK2
CTNND2	32.2391098423235	1.06399927789645	6.35272626662471	2.11531944224106e-10	2.47061476337303e-08	CTNND2
APOA4	32.9960812564783	0.485022124776017	6.33935957891848	2.30722188865383e-10	2.67002723885132e-08	APOA4
ARID5B	27.0827470965626	0.193140276469528	6.32937119058039	2.46162287852175e-10	2.82281008997031e-08	ARID5B
CACYBP	42.257895806136	1.13729795784746	-6.28208254248445	3.34067383618995e-10	3.79632970898199e-08	CACYBP
SPTBN1	279.659457621101	0.0385410350851521	6.2681045884058	3.65469291078273e-10	4.11609789076905e-08	SPTBN1
SOX5	35.1729377900869	0.0509645703509879	6.26512405454237	3.72528715745273e-10	4.15847541629281e-08	SOX5
FRZB	17.9561678318712	0.324948512000138	6.2594589413557	3.86315425395439e-10	4.27454629468252e-08	FRZB
LRP1	67.030829168632	0.206256543049773	6.24209725934532	4.31742340088764e-10	4.69482575679282e-08	LRP1
SLIT3	151.46500876202	-0.511111117736932	6.24266170183636	4.30186668376068e-10	4.69482575679282e-08	SLIT3
SH3RF3	27.813330539479	0.0428236243516046	6.23115906092942	4.62996706536576e-10	4.99165850961741e-08	SH3RF3
G3BP1	41.9189393137738	-1.15017956660118	-6.22559519647202	4.79731254375325e-10	5.12824579889013e-08	G3BP1
MCM4	49.4214158639254	-0.104327402347798	-6.20843330330746	5.35154262446512e-10	5.67263518193303e-08	MCM4
MBNL2	31.0354697877688	-2.62370126586956	6.20393613856913	5.50681392870562e-10	5.78857924139105e-08	MBNL2
AHSG	28.4155748187871	1.1722361659288	6.19620818476244	5.78396131834913e-10	6.02966017104595e-08	AHSG
UNC5D	58.5561659065293	1.27103622003424	-6.1922802189212	5.93000045990331e-10	6.13123162305085e-08	UNC5D
ATXN1	35.7175591396292	-0.30415811341737	6.18343236613923	6.27226134375711e-10	6.43238248700424e-08	ATXN1
DPPA4	22.8881266222584	-1.72123723702432	-6.17061715838639	6.80239487949952e-10	6.91979104919411e-08	DPPA4
SYT1	30.2627961743845	2.14833687569367	-6.16427383610148	7.08073180509131e-10	7.14530807915374e-08	SYT1
DPP4	88.603575144661	0.725452816360857	6.16145808280631	7.20781515924917e-10	7.15900633218653e-08	DPP4
HKDC1	12.1504162982111	1.06058238278754	6.16215361936035	7.17621813527395e-10	7.15900633218653e-08	HKDC1
FILIP1L	31.1130740212328	0.0509645703509877	6.16014886508577	7.26765922609015e-10	7.16205105296102e-08	FILIP1L
STK39	20.1089564279884	-0.933804376459356	6.15114804004055	7.69240738078473e-10	7.52186253497818e-08	STK39
PVR	24.8541084686132	0.0509645703509878	6.14775996862676	7.85848342236221e-10	7.56693968623488e-08	PVR
S100A14	31.340977680667	2.38813906876496	6.14829076644993	7.83223573271397e-10	7.56693968623488e-08	S100A14
RSPO2	29.1097828071895	0.0509645703509878	6.13993458794709	8.25554684818142e-10	7.88905060173943e-08	RSPO2
COL1A1	161.094638736618	0.730332893256083	6.13490940322844	8.52077383031359e-10	8.08128128538163e-08	COL1A1
GATA4	22.2978648951472	1.55010349941381	6.12600948916286	9.01104341840026e-10	8.41965197627414e-08	GATA4
UNC13C	29.5767302244918	0.735169214861574	6.12616210044541	9.00240918609434e-10	8.41965197627414e-08	UNC13C
CLSTN2	34.9826180895384	-0.828648942023806	6.12161555570368	9.26313031743075e-10	8.59155336941702e-08	CLSTN2
NUP155	25.709317872948	2.27948394634488	-6.11170172986189	9.85742931035057e-10	9.07603016939869e-08	NUP155
RP11-69I8.2	12.6991829285932	4.35201540479964	-6.10062767151212	1.05652753348207e-09	9.65727413575566e-08	RP11-69I8.2
MUM1L1	32.8844405700098	3.37781796187962	6.09160749488698	1.11782485815843e-09	1.01440595401514e-07	MUM1L1
SERPINA1	17.8215482004736	0.0509645703509878	6.09004032537058	1.12882250539937e-09	1.01706907736484e-07	SERPINA1
COL12A1	20.9781631137479	-2.51661092337169	6.05851001499853	1.37388195430721e-09	1.22908843770434e-07	COL12A1
HAUS6	26.7889608831594	-1.34318747963345	-6.02455117513034	1.69579543639172e-09	1.49585759682833e-07	HAUS6
SLCO2B1	18.6073931884011	0.427579104763281	6.02554265075498	1.6854316270847e-09	1.49585759682833e-07	SLCO2B1
A2M	28.1963104532354	0.951307624126561	6.02187087921171	1.72412417283176e-09	1.51028488306249e-07	A2M
DLC1	20.8474166708954	-1.14726130127755	6.01784830968941	1.76750702957437e-09	1.52736781534387e-07	DLC1
ZBTB38	21.3104810138135	0.0509645703509877	6.01781754548894	1.76784288124469e-09	1.52736781534387e-07	ZBTB38
EPSTI1	29.8537164069336	-0.261261654578594	6.01389262995022	1.81120497683598e-09	1.55418636583735e-07	EPSTI1
TFP1;TF	35.783353558311	-0.104327402347798	5.98546894807566	2.15767285373462e-09	1.83897874168976e-07	TFP1;TF
HSPG2	20.2947425643889	0.206256543049773	5.97269489111045	2.33366101852292e-09	1.96245333917654e-07	HSPG2
SIPA1L2	60.0080105052307	0.206256543049774	5.97312167910686	2.32756161994987e-09	1.96245333917654e-07	SIPA1L2
PNN	124.30219682715	-0.104327402347798	-5.97067463683343	2.36274519614005e-09	1.97375284133183e-07	PNN
SEPP1	25.421088642938	-1.32964639087944	5.95441164063048	2.61009096570118e-09	2.16603206851018e-07	SEPP1
ADAMTS6	33.858243680661	0.0509645703509879	5.94983123134998	2.68419115909455e-09	2.20463368196444e-07	ADAMTS6
SLC40A1	24.4944043326618	0.799031826151225	5.94938238710276	2.69156165389666e-09	2.20463368196444e-07	SLC40A1
AF127936.9;NRIP1	23.6339448290696	2.25391580511617	5.94137557665248	2.82640222132046e-09	2.30014436256363e-07	AF127936.9;NRIP1
INPP4B	10.59742096188	0.658741116583975	5.93164241892779	2.99919247990227e-09	2.42511627830047e-07	INPP4B
ANGPTL3	20.0626250407742	0.254499859802893	5.91633493415458	3.29194520593129e-09	2.64487877882912e-07	ANGPTL3
BMPR2	36.7526423566189	-0.259619375046583	5.91087397060854	3.40297328497842e-09	2.71677879852644e-07	BMPR2
H3F3A	134.611037083763	0.516840488447345	-5.8845080580542	3.99239688623606e-09	3.16730152974727e-07	H3F3A
POSTN	36.7675893522133	-0.271558160914295	5.8730932745985	4.2773764152173e-09	3.37217663134694e-07	POSTN
CACNA2D3	26.5342035450004	1.25783411438785	-5.86218386519648	4.56818775013414e-09	3.57907579380075e-07	CACNA2D3
TYMS	26.629998820795	1.6053243251849	-5.85651904338186	4.72669411661672e-09	3.68040244364218e-07	TYMS
TERF1	44.0322969438553	0.206256543049773	-5.84212795654901	5.15381942187161e-09	3.98836062499929e-07	TERF1
LCP1	23.5630864195023	1.7305306397101	5.8307798071823	5.51689449145786e-09	4.24329921434448e-07	LCP1
NCOA1	24.867974277893	-0.104327402347798	5.81625040763069	6.01822922971844e-09	4.60084506082839e-07	NCOA1
NCAM1	17.9100313810694	0.0509645703509878	5.80996905866142	6.24843896128824e-09	4.74806078660783e-07	NCAM1
PTPRZ1	13.4516695675986	0.0714838372541105	-5.79846754092731	6.69236528966694e-09	5.02485093832493e-07	PTPRZ1
TF	55.3140880617203	-0.0535423993733907	5.79932026488039	6.6584260851543e-09	5.02485093832493e-07	TF
RHOBTB3	55.2613323094443	0.574158788632585	5.77692420373505	7.60785366343683e-09	5.67842994737232e-07	RHOBTB3
GPR39	18.5227790509076	0.050964570350988	5.77055569895158	7.90105435537308e-09	5.86258233168682e-07	GPR39
SDK2	16.3481110387051	0.523670270124244	5.76215382952766	8.30472525450567e-09	6.12607043042892e-07	SDK2
CDK6	77.5265599615822	-0.104327402347798	5.75967718662422	8.42749528570198e-09	6.18048985661888e-07	CDK6
TNS1	17.2756018883535	0.0509645703509878	5.74058270804825	9.43513256309063e-09	6.87946602027891e-07	TNS1
MBNL1	55.7934002819518	0.0509645703509878	5.73897975622477	9.52486034372362e-09	6.90497634343274e-07	MBNL1
CNTN4	26.438760515971	0.0509645703509882	5.73781867927543	9.59037091123449e-09	6.91273935281782e-07	CNTN4
MCM3	45.0512638074123	0.050964570350988	-5.72473483087871	1.03595420831396e-08	7.42473089981381e-07	MCM3
DLK1	23.7536995446571	0.206256543049773	5.72017709756924	1.06413078887648e-08	7.58358518129262e-07	DLK1
NOLC1	18.9524611586705	0.0907843305270964	-5.71636608529776	1.0882615740673e-08	7.6689002766955e-07	NOLC1
POLR1B	39.2471693540897	-0.265916854087562	-5.71726757864194	1.08250587503758e-08	7.6689002766955e-07	POLR1B
SMAD3	27.4190115249668	0.0509645703509877	5.69913724158786	1.20415260159586e-08	8.43843384251675e-07	SMAD3
WIPF1	19.6405524747256	0.0509645703509877	5.69733117622663	1.21697390048973e-08	8.48116507225276e-07	WIPF1
GART	38.939339756453	0.206256543049773	-5.69572777719504	1.22846754798954e-08	8.51422508260446e-07	GART
RPL8	514.4034556118	0.978883004007857	-5.68261473122893	1.32650866392003e-08	9.14348649545755e-07	RPL8
ARHGAP6	13.9531017744417	0.0509645703509879	5.68130867826626	1.33667982927596e-08	9.16352139482989e-07	ARHGAP6
NID2	28.828707412878	0.0509645703509878	5.67872627824665	1.35701431010543e-08	9.25263703117289e-07	NID2
RYR2	32.7256852584923	-0.259619375046583	-5.66987769562592	1.42899493174143e-08	9.69104412311099e-07	RYR2
FLRT3	19.6030020786183	0.206256543049774	5.66674738458705	1.45533657150151e-08	9.8169066914011e-07	FLRT3
SLC39A10	30.5975604918917	0.628096103517491	-5.66001167699456	1.51362695575677e-08	1.0155792776551e-06	SLC39A10
TRDN	19.7716181501286	-2.32965433873276	-5.65857949000648	1.52631019567788e-08	1.01867073059686e-06	TRDN
PLXNA2	27.4430067565552	-0.450335673530048	5.65451017825129	1.56291336868586e-08	1.03760995961071e-06	PLXNA2
VTN	10.6922546327677	0.06492974864969	5.65316075285423	1.57523853082367e-08	1.04031721611569e-06	VTN
RP11-231C18.3;PDGFRA	27.7938170828484	-1.04451515476431	5.64866897622729	1.61694867233978e-08	1.06230159129656e-06	RP11-231C18.3;PDGFRA
HGD	8.51323526572785	0.000838291521421755	5.64365595535935	1.66476585910152e-08	1.08804956200552e-06	HGD
ZBTB16	10.2381311691349	-0.258364144831186	5.64146322625973	1.68611055202273e-08	1.09631951047499e-06	ZBTB16
WBSCR17	33.1047609407222	0.0746451767681939	-5.62812289071169	1.82181280784072e-08	1.17847932092835e-06	WBSCR17
LINC01057	16.1967463599195	0.230902009877418	5.61008595972214	2.02226141809966e-08	1.30146966979128e-06	LINC01057
NPSR1-AS1	6.87247730337691	-0.316541250120061	5.58991301617397	2.27183387017294e-08	1.4546656060082e-06	NPSR1-AS1
PAPPA	16.1522666427732	-0.104327402347798	5.58492762423486	2.33797559545433e-08	1.48945576571015e-06	PAPPA
RFX6	7.65114448056432	-0.812888644527873	5.58011971569215	2.4035309803907e-08	1.52352461239439e-06	RFX6
CPS1	22.3050892978762	1.740613046214	5.57237882488731	2.51284266982293e-08	1.58484987185732e-06	CPS1
RNF128	27.6536139390035	0.681223224286663	5.55942896704952	2.70658722785495e-08	1.69855180558022e-06	RNF128
ZNF804A	10.7322179857411	0.574852162593071	5.55826251019867	2.72473375018286e-08	1.70147482796073e-06	ZNF804A
CASK	23.5898975591061	0.0509645703509878	5.55594947050586	2.76106742900573e-08	1.70726002693521e-06	CASK
F3	23.7746420283587	0.0509645703509879	5.55624143763099	2.75645535761403e-08	1.70726002693521e-06	F3
TFPI	22.2164627463855	1.2682614349886	5.55055303281231	2.84767306676097e-08	1.75222185678648e-06	TFPI
PROS1	15.7977736257791	0.0509645703509877	5.54562522205327	2.92905618552457e-08	1.79354925845665e-06	PROS1
ITGA1	50.3027999455889	1.90474399834703	5.54160083758013	2.99718898374886e-08	1.82640298748832e-06	ITGA1
GDI2	75.2193782217746	0.0509645703509875	-5.53667921160734	3.08260402397711e-08	1.86942149800227e-06	GDI2
SYNE1	24.5866625673403	0.0509645703509877	5.5332051589792	3.1443132601077e-08	1.89772093124395e-06	SYNE1
IGFBP5	46.1969024494608	-0.140837144710476	5.52693945651566	3.25865350675183e-08	1.95736453972226e-06	IGFBP5
PITX2	60.5390343550137	0.906340261164923	5.52441677128474	3.30581896534561e-08	1.97628438051515e-06	PITX2
CFI	11.9198089816768	0.0509645703509878	5.52028434661983	3.38451532132424e-08	2.01378661618792e-06	CFI
KCNQ5	14.405624446064	-1.27615506815464	5.51799173159477	3.42895561594474e-08	2.03065005349892e-06	KCNQ5
ST6GALNAC3	47.9362640488084	0.244398050526752	5.5094973685604	3.59859774106836e-08	2.12115476195497e-06	ST6GALNAC3
TBC1D19	12.7465004211338	-0.562893897924689	5.50661739718897	3.65794060148982e-08	2.14610524405547e-06	TBC1D19
ZNF516	18.5553715386875	-0.58887569052788	5.50536795070567	3.68398009262032e-08	2.1513761522367e-06	ZNF516
LPGAT1	21.7487803833387	-0.234603315178531	5.48835141385271	4.05702331585215e-08	2.34749046358527e-06	LPGAT1
UNC5C	36.9010252954815	-0.491630086582698	5.48898365218535	4.04253032149227e-08	2.34749046358527e-06	UNC5C
APOA1	26.4134200457964	-0.104327402347798	5.484158684857	4.15441738384509e-08	2.3928685333252e-06	APOA1
DLEU2	12.2776359961818	0.0509645703509878	5.47431395469335	4.39209793887207e-08	2.51826924549692e-06	DLEU2
PRDM6	11.1890941627813	0.206256543049773	5.47291450622915	4.42693715273264e-08	2.52675951332894e-06	PRDM6
RP11-120I21.2	37.5706338930267	0.414821860453012	5.46764423957704	4.56056058219285e-08	2.5913023055757e-06	RP11-120I21.2
FZD4	17.6292344249249	0.0509645703509877	5.44557064421211	5.16395628883194e-08	2.92099303261552e-06	FZD4
MSH6	53.3709286873027	1.50843943649592	-5.44027682685126	5.31978431847622e-08	2.99570354434192e-06	MSH6
SNTB1	22.4556863275306	0.0680349169254675	5.43614641895159	5.44452200722814e-08	3.05232002663003e-06	SNTB1
ALPK2	26.6703654791091	-0.676324240816852	5.43372347912907	5.51900859114647e-08	3.08038824640361e-06	ALPK2
SH3RF2	15.0618472637214	-0.769679362498485	5.43284865505824	5.54614453207108e-08	3.08189723028831e-06	SH3RF2
KIF20B	13.2554691550218	-0.104327402347798	-5.42683012631336	5.73636757816744e-08	3.17362020311421e-06	KIF20B
CADM1	33.714854531625	1.59644630731184	5.41835684844173	6.01492709155964e-08	3.31320045121979e-06	CADM1
ATRAID	25.0557838985386	0.206256543049773	-5.41401378631664	6.1627418152268e-08	3.37986196770743e-06	ATRAID
FMO5	19.4686622085602	-0.104327402347798	5.41048564627719	6.2854061207224e-08	3.43221267561872e-06	FMO5
TLN2	70.2242364627253	3.07579884015608	5.4095581896776	6.31804200897366e-08	3.43516301298249e-06	TLN2
MITF	15.161176352625	-0.104327402347798	5.40469580587351	6.49184715740791e-08	3.51451330658985e-06	MITF
YTHDF2	247.211166919962	0.0509645703509877	-5.39531736718197	6.8402538034662e-08	3.68730604602233e-06	YTHDF2
RPS4X	161.389954728109	0.206256543049773	-5.3798679072728	7.45405121945777e-08	4.0010809396698e-06	RPS4X
PLCE1	18.1917196702806	0.0509645703509877	5.37219242660709	7.7785035492374e-08	4.15754422754578e-06	PLCE1
SLTM	55.0713467080154	-0.104327402347798	-5.3697435140909	7.88487018304115e-08	4.19661402906671e-06	SLTM
YPEL2	8.65470188474765	1.63357038905617	5.36092527026434	8.27967661055992e-08	4.38822860359676e-06	YPEL2
